doi,wos-uid,author,journal
DO=10.1353/cj.2020.0052,0,0,0
DO=10.1080/20007493.2017.1308750,0,0,0
DO=10.3366/film.2020.0146,WOS:000589976300002,"Kent, Laurence",FILM-PHILOSOPHY
DO=10.1017/aju.2018.89,0,0,0
DO=10.1353/cj.2012.0039,WOS:000303281100008,"Landay, Lori",CINEMA JOURNAL
DO=10.1353/cj.2011.0049,0,0,0
DO=10.1017/sus.2020.27,WOS:000769813600033,"Hochachka, Gail",GLOBAL SUSTAINABILITY
DO=10.1353/cj.0.0027,0,0,0
DO=10.3366/film.2008.0010,WOS:000210432800010,"Botz-Bornstein, Thorsten",FILM-PHILOSOPHY
DO=10.1353/cj.2019.0059,WOS:000476943300005,"Schultz-Figueroa, Benjamin",JCMS-JOURNAL OF CINEMA AND MEDIA STUDIES
DO=10.3366/film.2006.0016,WOS:000210318400002,"Morrey, Douglas",FILM-PHILOSOPHY
DO=10.5194/gh-71-283-2016,0,0,0
DO=10.1017/rma.2020.18,WOS:000589088900006,"Wilson, Samuel",JOURNAL OF THE ROYAL MUSICAL ASSOCIATION
DO=10.5194/gh-73-273-2018,0,0,0
DO=10.3366/film.2015.0008,WOS:000210906300010,"Brown, William",FILM-PHILOSOPHY
DO=10.3366/film.2015.0008,WOS:000210906300010,"Fleming, David",FILM-PHILOSOPHY
DO=10.1353/cj.2018.0049,WOS:000439979200002,"Birks, Chelsea",CINEMA JOURNAL
DO=10.1353/cj.2018.0004,WOS:000429690300005,"Knowles, Kim",CINEMA JOURNAL
DO=10.3366/film.2017.0035,WOS:000396065800008,"Brown, William",FILM-PHILOSOPHY
DO=10.3366/cfs.2020.0009,0,0,0
DO=10.3366/film.2016.0013,WOS:000387250600004,"Horner, Kierran Argent",FILM-PHILOSOPHY
DO=10.1353/cj.0.0000,0,0,0
DO=10.18261/issn.1500-1989-2017-02-05,0,0,0
DO=10.1096/fj.06-1203ufm,0,0,0
DO=10.5194/gh-75-93-2020,0,0,0
DO=10.1353/cj.2019.0042,WOS:000476943300007,"McRuer, Robert",JCMS-JOURNAL OF CINEMA AND MEDIA STUDIES
DO=10.5194/gh-74-223-2019,0,0,0
DO=10.1353/cj.2012.0118,WOS:000311193700004,"Cameron, Allan",CINEMA JOURNAL
DO=10.1075/aila.00015.pen,WOS:000461187900006,"Pennycook, Alastair",AILA REVIEW
DO=10.1080/02690403.2014.944824,WOS:000343407200005,"Kramer, Lawrence",JOURNAL OF THE ROYAL MUSICAL ASSOCIATION
DO=10.1177/016146811711901206,0,0,0
DO=10.1177/016146811912101310,0,0,0
DO=10.1353/cj.2020.0053,WOS:000557612000019,"Szczepaniak-Gillece, Jocelyn",JCMS-JOURNAL OF CINEMA AND MEDIA STUDIES
DO=10.3366/film.2007.0037,WOS:000210321700023,"Mather, Philippe",FILM-PHILOSOPHY
DO=10.3366/film.2019.0123,WOS:000488057400010,"Jones, Andrew",FILM-PHILOSOPHY
DO=10.3366/film.2010.0001,0,0,0
DO=10.3366/film.2020.0142,WOS:000538014100010,"Martens, Reuben",FILM-PHILOSOPHY
